gap_id,Problem,GapToStrat_relatedness_score,strategy_id,General Solution Description ,TechToStrat_relevancy_score,technology_id,Technology,Cost Per Building Low ($),Cost Per Building High ($),Cost Estimation Logic
4,Generator requires adequate sizing / testing,85,16,Centralized Generator Hard-Drop Testing,95,11,Generator Reliability,125000.00,300000.00,Enhanced testing infrastructure for centralized generators including specialized equipment for sudden load acceptance testing and reliability verification.
4,Generator requires adequate sizing / testing,95,3,Generator Full-Load Testing,100,11,Generator Reliability,60000.00,175000.00,"Building-specific load bank equipment, testing protocols, and verification systems for distributed generators."
4,Generator requires adequate sizing / testing,90,4,Generator Hard-Drop Testing,100,11,Generator Reliability,80000.00,225000.00,Building-specific enhanced testing infrastructure for distributed generators with specialized equipment for reliability verification.
4,Generator requires adequate sizing / testing,90,2,Minimum Generator Loading,95,11,Generator Reliability,40000.00,120000.00,Load management systems to ensure minimum loading on generators for reliability. Includes artificial loads and monitoring equipment.
4,Generator requires adequate sizing / testing,85,15,Centralized Generator Full-Load Testing,85,2,Reciprocating Internal Combustion Engines (RICE),100000.00,250000.00,Load bank testing equipment for centralized RICE generators. Includes automated test protocols and monitoring.
4,Generator requires adequate sizing / testing,85,16,Centralized Generator Hard-Drop Testing,85,2,Reciprocating Internal Combustion Engines (RICE),125000.00,300000.00,Enhanced testing infrastructure for centralized RICE generators. Includes specialized equipment for sudden load testing.
4,Generator requires adequate sizing / testing,95,3,Generator Full-Load Testing,85,2,Reciprocating Internal Combustion Engines (RICE),60000.00,175000.00,Building-specific load bank equipment for RICE generators. Includes testing protocols and monitoring systems.
4,Generator requires adequate sizing / testing,90,4,Generator Hard-Drop Testing,85,2,Reciprocating Internal Combustion Engines (RICE),80000.00,225000.00,Enhanced building-specific testing for RICE generators. Includes specialized equipment for load acceptance testing.
4,Generator requires adequate sizing / testing,90,2,Minimum Generator Loading,90,2,Reciprocating Internal Combustion Engines (RICE),40000.00,120000.00,Load management systems to ensure minimum loading on RICE generators. Includes artificial loads and controls.
5,Lacking building-level UPS,95,9,Critical Load UPS System,85,15,Battery Energy Storage Systems (BESS),175000.00,400000.00,"Building-wide critical load UPS with distribution infrastructure, monitored circuits, and rapid switching capabilities."
5,Lacking building-level UPS,95,9,Critical Load UPS System,100,11,Generator Reliability,125000.00,300000.00,"Building-wide UPS system with generator backup. Includes batteries, power conditioning, monitoring, and reliability enhancements."
5,Lacking building-level UPS,75,87,UPS Maintenance and Testing Protocol,100,11,Generator Reliability,30000.00,80000.00,"Development and implementation of comprehensive UPS maintenance and testing protocols. Includes documentation, training, and testing equipment."
5,Lacking building-level UPS,95,9,Critical Load UPS System,90,14,Power Quality,200000.00,500000.00,"Building-wide UPS with power quality features. Includes power conditioning, monitoring, and distribution infrastructure."
6,Lacking UPS for critical equipment,95,9,Critical Load UPS System,85,15,Battery Energy Storage Systems (BESS),75000.00,180000.00,Distributed UPS systems sized for specific critical equipment throughout building. Includes installation and coordination systems.
6,Lacking UPS for critical equipment,95,9,Critical Load UPS System,100,11,Generator Reliability,80000.00,200000.00,Distributed UPS systems for specific critical equipment with generator backup. Includes reliability enhancements and monitoring.
6,Lacking UPS for critical equipment,75,87,UPS Maintenance and Testing Protocol,100,11,Generator Reliability,25000.00,70000.00,"Focused UPS maintenance and testing protocols for critical equipment UPS systems. Includes documentation, training, and specialized testing."
6,Lacking UPS for critical equipment,95,9,Critical Load UPS System,90,14,Power Quality,100000.00,250000.00,Targeted UPS for critical equipment with power quality features. Includes harmonic mitigation and voltage regulation.
6,Lacking UPS for critical equipment,70,32,Dedicated Electrical Circuit for Critical Loads,NULL,NULL,No Relevant Matches,NULL,NULL,NULL
7,UPS system not sized properly to endure outage periods,85,9,Critical Load UPS System,85,15,Battery Energy Storage Systems (BESS),125000.00,300000.00,"Upgrade to existing UPS with additional battery capacity, monitoring systems, and load management. Sized for 4-8 hour runtime."
7,UPS system not sized properly to endure outage periods,80,66,Electrical Energy Storage,100,15,Battery Energy Storage Systems (BESS),180000.00,425000.00,"Supplemental BESS to extend existing UPS runtime, with integration to existing systems. Sized for additional 6-12 hours of critical load support."
7,UPS system not sized properly to endure outage periods,85,9,Critical Load UPS System,100,11,Generator Reliability,100000.00,275000.00,Upgrading existing UPS with enhanced battery capacity and generator integration. Includes load analysis and reliability improvements.
7,UPS system not sized properly to endure outage periods,70,87,UPS Maintenance and Testing Protocol,100,11,Generator Reliability,35000.00,90000.00,"Enhanced testing protocols for upgraded UPS systems. Includes runtime verification, documentation, and staff training."
7,UPS system not sized properly to endure outage periods,85,9,Critical Load UPS System,90,14,Power Quality,175000.00,450000.00,Upgraded UPS with enhanced capacity and power quality features. Includes power monitoring and conditioning equipment.
7,UPS system not sized properly to endure outage periods,80,66,Electrical Energy Storage,85,14,Power Quality,250000.00,600000.00,"Dedicated energy storage with power quality features. Includes advanced inverters, harmonic filtering, and voltage regulation."
7,UPS system not sized properly to endure outage periods,80,66,Electrical Energy Storage,80,3,Solar Photovoltaic (PV),150000.00,400000.00,"Battery storage system paired with existing/new PV. Sized to extend UPS runtime to 4-8 hours for critical loads. Includes batteries, inverters, and controls."
7,UPS system not sized properly to endure outage periods,80,66,Electrical Energy Storage,75,9,Wind Turbine Generators,200000.00,500000.00,Battery storage system paired with wind generation. Sized to extend UPS runtime to 4-8 hours for critical loads.
8,Lacking redundant electrical feed,85,21,Alternate Supply Paths (Backup Power),85,15,Battery Energy Storage Systems (BESS),250000.00,550000.00,"BESS with automated transfer switches, dual-feed capability, and fast response time. Sized for 25-50% of building load for 4-8 hours."
8,Lacking redundant electrical feed,85,21,Alternate Supply Paths (Backup Power),90,11,Generator Reliability,175000.00,450000.00,"Implementation of redundant electrical feeds with automatic transfer capability. Includes switchgear, controls, and generator integration."
8,Lacking redundant electrical feed,95,112,Alternate Supply Paths (Power),85,12,Microgrid,200000.00,600000.00,"Implementation of redundant electrical feeds within a microgrid framework. Includes alternate distribution paths, switchgear, and controls. Costs vary based on distance and capacity needed."
8,Lacking redundant electrical feed,95,112,Alternate Supply Paths (Power),80,14,Power Quality,300000.00,700000.00,"Redundant electrical feeds with power quality equipment. Includes automated transfer switches, conditioning, and monitoring."
8,Lacking redundant electrical feed,95,113,Redundant Electrical Feeder,80,14,Power Quality,350000.00,800000.00,"Installation of redundant feeders with power quality equipment. Includes conditioners, filters, and monitoring systems."
8,Lacking redundant electrical feed,95,112,Alternate Supply Paths (Power),90,7,Substations,400000.00,1000000.00,"Implementation of alternate supply paths from substations. Includes new distribution lines, switchgear, and connection equipment."
8,Lacking redundant electrical feed,95,113,Redundant Electrical Feeder,90,7,Substations,350000.00,850000.00,"Installation of redundant feeder from substation to building. Includes cabling, switchgear, and termination equipment."
8,Lacking redundant electrical feed,80,120,Redundant Electrical Feeder to District Substation,100,7,Substations,500000.00,1200000.00,"Redundant feeder from district substation. Includes medium voltage cabling, switchgear, and protective equipment."
8,Lacking redundant electrical feed,75,134,Redundant Transmission Feeder to Installation Substation(s),100,7,Substations,700000.00,1800000.00,"Redundant high-voltage transmission feeder to installation substation. Includes towers/poles, conductors, and termination equipment."
8,Lacking redundant electrical feed,85,21,Alternate Supply Paths (Backup Power),80,4,Uptime Institute Data Center Site Infrastructure Tier Standard,400000.00,900000.00,Implementation of alternate power supply paths meeting Tier requirements. Includes redundant distribution systems and controls.
8,Lacking redundant electrical feed,95,112,Alternate Supply Paths (Power),80,4,Uptime Institute Data Center Site Infrastructure Tier Standard,450000.00,1000000.00,Comprehensive alternate power paths meeting higher Tier levels. Includes fully independent distribution systems and monitoring.
8,Lacking redundant electrical feed,95,113,Redundant Electrical Feeder,80,4,Uptime Institute Data Center Site Infrastructure Tier Standard,350000.00,800000.00,Redundant feeder installation meeting Tier standards. Includes specialized switchgear and monitoring for critical facilities.
8,Lacking redundant electrical feed,80,120,Redundant Electrical Feeder to District Substation,75,4,Uptime Institute Data Center Site Infrastructure Tier Standard,500000.00,1200000.00,District-level redundant feeder meeting higher Tier standards. Includes specialized protection and monitoring systems.
9,Climate/weather/temperature conditions limit system capability,85,6,Generator Cold Weather Block Heater,95,11,Generator Reliability,30000.00,75000.00,"Installation of cold weather packages for generators. Includes block heaters, battery warmers, and cold-weather fluids/lubricants."
9,Climate/weather/temperature conditions limit system capability,80,27,Cooling Capacity for Critical Loads,NULL,NULL,No Relevant Matches,NULL,NULL,NULL
9,Climate/weather/temperature conditions limit system capability,80,28,Heating Capacity for Critical Loads,NULL,NULL,No Relevant Matches,NULL,NULL,NULL
9,Climate/weather/temperature conditions limit system capability,75,56,HVAC Performance Upgrades,NULL,NULL,No Relevant Matches,NULL,NULL,NULL
10,Lacking or requires upgrades to centralized asset / system,85,11,Centralized Backup Power,90,16,Combined Heat and Power (CHP),700000.00,1600000.00,Similar to above but includes additional costs for upgrading existing electrical infrastructure for integration with new CHP system.
10,Lacking or requires upgrades to centralized asset / system,85,36,Centralized Cooling System,90,16,Combined Heat and Power (CHP),500000.00,1100000.00,CHP with absorption chillers to provide cooling capacity. Sized for building cooling load with heat recovery systems and cooling distribution.
10,Lacking or requires upgrades to centralized asset / system,85,37,Centralized Heating System,95,16,Combined Heat and Power (CHP),450000.00,1000000.00,CHP system optimized for heating with enhanced heat recovery. Includes hot water/steam distribution system upgrades and integration with existing heating.
10,Lacking or requires upgrades to centralized asset / system,80,39,Cooling System Capacity,85,16,Combined Heat and Power (CHP),550000.00,1200000.00,CHP with absorption cooling to supplement existing cooling systems. Sized for 50-100% of building cooling load depending on building needs.
10,Lacking or requires upgrades to centralized asset / system,80,40,Heating System Capacity,85,16,Combined Heat and Power (CHP),400000.00,900000.00,CHP optimized to provide supplemental heating capacity. Includes thermal storage and integration with existing heating infrastructure.
10,Lacking or requires upgrades to centralized asset / system,85,11,Centralized Backup Power,90,10,Combustion Turbines (CT),650000.00,1400000.00,Upgrades to existing centralized system with new CT. Includes integration with existing infrastructure and enhanced controls.
10,Lacking or requires upgrades to centralized asset / system,85,12,Centralized Dual-fuel Backup Power,90,10,Combustion Turbines (CT),750000.00,1600000.00,Upgrades to existing centralized system with new dual-fuel CT. Includes multiple fuel systems and enhanced controls.
10,Lacking or requires upgrades to centralized asset / system,75,69,Centralized Fuel Storage Capacity,85,10,Combustion Turbines (CT),200000.00,500000.00,"Expansion of centralized fuel storage for CTs. Includes tanks, piping, monitoring, safety systems, and regulatory compliance."
10,Lacking or requires upgrades to centralized asset / system,85,11,Centralized Backup Power,80,5,Fuel Cells,450000.00,950000.00,Similar to above but includes additional costs for upgrading existing electrical infrastructure and switchgear.
10,Lacking or requires upgrades to centralized asset / system,85,11,Centralized Backup Power,85,11,Generator Reliability,400000.00,850000.00,Upgrading existing centralized generator system with reliability enhancements. Includes redundant systems and expanded capacity.
10,Lacking or requires upgrades to centralized asset / system,85,36,Centralized Cooling System,70,1,Geothermal,450000.00,1200000.00,"Geothermal cooling system sized for the building (12,886 sqft). Includes ground loop installation, heat pumps, and integration with existing distribution. Lower range for easier drilling conditions, higher for challenging geology or limited space."
10,Lacking or requires upgrades to centralized asset / system,85,37,Centralized Heating System,70,1,Geothermal,400000.00,1100000.00,"Geothermal heating system sized for building thermal needs. Includes ground loops, heat pumps, and distribution integration. Costs vary based on heating load and ground conditions."
10,Lacking or requires upgrades to centralized asset / system,75,69,Centralized Fuel Storage Capacity,85,6,Hydrogen Production,700000.00,1800000.00,"Centralized hydrogen storage system sized for multi-day supply (3-7 days). Includes storage tanks, safety systems, compression equipment, and monitoring. Higher costs for larger capacity and advanced safety systems."
10,Lacking or requires upgrades to centralized asset / system,85,11,Centralized Backup Power,85,13,Nuclear Generators,2800000.00,7500000.00,Building's share of centralized SMR with additional integration costs for existing systems. Includes infrastructure upgrades and expanded safety systems.
10,Lacking or requires upgrades to centralized asset / system,85,36,Centralized Cooling System,80,13,Nuclear Generators,2200000.00,6000000.00,"Building's share of nuclear-powered cooling system. Includes cogeneration equipment, distribution, and cooling infrastructure."
10,Lacking or requires upgrades to centralized asset / system,85,37,Centralized Heating System,80,13,Nuclear Generators,2000000.00,5500000.00,Building's share of nuclear-powered heating system. Includes thermal distribution infrastructure and heat exchangers.
10,Lacking or requires upgrades to centralized asset / system,85,11,Centralized Backup Power,85,2,Reciprocating Internal Combustion Engines (RICE),550000.00,1200000.00,Upgrades to existing centralized system with new RICE generator. Includes integration with existing infrastructure.
10,Lacking or requires upgrades to centralized asset / system,85,12,Centralized Dual-fuel Backup Power,95,2,Reciprocating Internal Combustion Engines (RICE),650000.00,1400000.00,Upgrades to existing centralized system with dual-fuel RICE generator. Includes multiple fuel systems and controls.
10,Lacking or requires upgrades to centralized asset / system,75,69,Centralized Fuel Storage Capacity,85,2,Reciprocating Internal Combustion Engines (RICE),150000.00,400000.00,"Expansion of centralized fuel storage for RICE generators. Includes tanks, piping, monitoring, and safety systems."
11,Lacking secure facility for critical operations /power,95,5,Backup Power Systems in Secure Structure,90,11,Generator Reliability,200000.00,550000.00,"Construction of secure housing for generator systems. Includes hardening, access control, monitoring, and environmental controls."
11,Lacking secure facility for critical operations /power,85,115,Substation Hardening,75,14,Power Quality,200000.00,550000.00,"Hardening of substation with power quality focus. Includes surge protection, filtering, and monitoring equipment."
11,Lacking secure facility for critical operations /power,85,115,Substation Hardening,100,7,Substations,300000.00,800000.00,"Comprehensive hardening of substation serving the building. Includes physical barriers, monitoring, and protective measures."
11,Lacking secure facility for critical operations /power,80,137,Building Envelope Security/Hardening Strategies,NULL,NULL,No Relevant Matches,NULL,NULL,NULL
11,Lacking secure facility for critical operations /power,95,138,Critical Operations at Secure Facility,NULL,NULL,No Relevant Matches,NULL,NULL,NULL
12,Lacks adequate resupply/refueling protocol/logistics,95,19,Backup Generator Refueling Logistics,80,10,Combustion Turbines (CT),125000.00,300000.00,"Development of refueling logistics for CT including contracts, delivery arrangements, and infrastructure for rapid refueling."
12,Lacks adequate resupply/refueling protocol/logistics,75,69,Centralized Fuel Storage Capacity,85,10,Combustion Turbines (CT),225000.00,550000.00,"Enhanced centralized fuel storage with automated monitoring, priority delivery contracts, and redundant delivery systems."
12,Lacks adequate resupply/refueling protocol/logistics,80,67,Fuel Storage Capacity,85,10,Combustion Turbines (CT),150000.00,400000.00,"Building-specific fuel storage systems with advanced monitoring, automated alerts, and priority delivery contracts."
12,Lacks adequate resupply/refueling protocol/logistics,90,14,Priority Generator Fueling Protocol,80,10,Combustion Turbines (CT),75000.00,200000.00,"Development and implementation of priority fueling protocols, including contracts, tracking systems, and emergency procedures."
12,Lacks adequate resupply/refueling protocol/logistics,80,67,Fuel Storage Capacity,80,5,Fuel Cells,75000.00,200000.00,"Includes storage tanks, piping, safety systems, and monitoring for natural gas or hydrogen. Size based on 3-7 days of operation."
12,Lacks adequate resupply/refueling protocol/logistics,95,19,Backup Generator Refueling Logistics,85,11,Generator Reliability,90000.00,225000.00,"Development of comprehensive refueling logistics. Includes contracts, delivery arrangements, and emergency protocols."
12,Lacks adequate resupply/refueling protocol/logistics,90,14,Priority Generator Fueling Protocol,85,11,Generator Reliability,60000.00,150000.00,"Development and implementation of priority fueling protocols. Includes contracts, tracking systems, and emergency procedures."
12,Lacks adequate resupply/refueling protocol/logistics,75,69,Centralized Fuel Storage Capacity,85,6,Hydrogen Production,750000.00,1900000.00,"Enhanced centralized hydrogen storage with focus on resupply logistics. Includes automated monitoring, priority delivery contracts, and redundant safety systems."
12,Lacks adequate resupply/refueling protocol/logistics,80,67,Fuel Storage Capacity,85,6,Hydrogen Production,550000.00,1400000.00,"Building-specific hydrogen storage with enhanced logistics focus. Includes storage, compression, safety systems, and delivery arrangements."
12,Lacks adequate resupply/refueling protocol/logistics,95,19,Backup Generator Refueling Logistics,80,2,Reciprocating Internal Combustion Engines (RICE),90000.00,225000.00,"Development of refueling logistics for RICE generators. Includes contracts, delivery arrangements, and protocols."
12,Lacks adequate resupply/refueling protocol/logistics,75,69,Centralized Fuel Storage Capacity,85,2,Reciprocating Internal Combustion Engines (RICE),175000.00,450000.00,"Enhanced centralized fuel storage for RICE generators. Includes monitoring, delivery contracts, and redundant systems."
12,Lacks adequate resupply/refueling protocol/logistics,80,67,Fuel Storage Capacity,85,2,Reciprocating Internal Combustion Engines (RICE),125000.00,350000.00,"Building-specific fuel storage for RICE generators. Includes tanks, monitoring, and delivery arrangements."
12,Lacks adequate resupply/refueling protocol/logistics,90,14,Priority Generator Fueling Protocol,80,2,Reciprocating Internal Combustion Engines (RICE),60000.00,150000.00,"Development of priority fueling protocols for RICE generators. Includes contracts, tracking, and emergency procedures."
12,Lacks adequate resupply/refueling protocol/logistics,85,107,Fuel Procurement Contracts,NULL,NULL,No Relevant Matches,NULL,NULL,NULL
13,Asset / system requires standardization / optimization / simplification,75,110,Exceptions to Allow Single-Source Procurement,NULL,NULL,No Relevant Matches,NULL,NULL,NULL
13,Asset / system requires standardization / optimization / simplification,90,25,Simplified HVAC Systems (Reduced Component Failure),NULL,NULL,No Relevant Matches,NULL,NULL,NULL
13,Asset / system requires standardization / optimization / simplification,85,96,Standardization of Replacement Parts,NULL,NULL,No Relevant Matches,NULL,NULL,NULL
14,Lacking adequate non-generator asset /system capacity,80,66,Electrical Energy Storage,100,15,Battery Energy Storage Systems (BESS),300000.00,650000.00,Larger capacity BESS (300-600kWh) with high power capability to serve as primary backup instead of generators. Includes fire suppression and cooling.
14,Lacking adequate non-generator asset /system capacity,85,39,Cooling System Capacity,85,16,Combined Heat and Power (CHP),600000.00,1300000.00,"CHP system with primary focus on cooling generation. Includes absorption chillers, cooling towers, and distribution systems sized for building cooling demand."
14,Lacking adequate non-generator asset /system capacity,85,40,Heating System Capacity,85,16,Combined Heat and Power (CHP),500000.00,1100000.00,"CHP system with primary focus on heating capacity. Includes enhanced heat exchangers, thermal storage, and integration with building heating systems."
14,Lacking adequate non-generator asset /system capacity,75,121,Adequate Substation Capacity,85,14,Power Quality,350000.00,900000.00,"Upgraded substation with power quality equipment. Includes transformers, regulators, and monitoring systems."
14,Lacking adequate non-generator asset /system capacity,80,66,Electrical Energy Storage,85,14,Power Quality,300000.00,700000.00,Energy storage system with power quality correction capabilities. Includes advanced inverters and filters.
14,Lacking adequate non-generator asset /system capacity,80,66,Electrical Energy Storage,80,3,Solar Photovoltaic (PV),200000.00,500000.00,"PV-integrated battery storage as supplemental capacity. Includes batteries, bidirectional inverters, and controls for peak shaving and backup."
14,Lacking adequate non-generator asset /system capacity,75,121,Adequate Substation Capacity,100,7,Substations,450000.00,1200000.00,"Upgrades to substation capacity serving the building. Includes transformers, switchgear, and protection equipment sized for building demand."
14,Lacking adequate non-generator asset /system capacity,85,33,Redundant HVAC Systems for Critical Loads,80,4,Uptime Institute Data Center Site Infrastructure Tier Standard,300000.00,750000.00,Redundant HVAC systems meeting Tier requirements for critical loads. Includes N+1 or 2N cooling systems and controls.
