S_ID,Strategy / Capability,Action,Description,Scale,Category,Category2,Strategy_Type,Adj_Weight,Strategy_Type2,R1A,R1B,R2A,R2B,R3A,R3B,R4A,R4B,R5A,R5B,Rcount,Rs
12,Centralized Dual-fuel Backup Power (District Level),Install Centralized Dual-fuel Backup Power (District Level),"Backup power systems should be fully functional when required. Centralizing backup power systems at the district level helps realize improved O&M and fuel efficiencies, and enabling generators to run on two or more fuel types (e.g., diesel, natural gas) increases flexibility for providing backup power in the event of a disruption to the fuel supply. Note that Jet Propellant 8 (JP-8) is not considered a dual fuel for diesel because using JP-8 requires modifying fuel injectors and because the extended use of JP-8 requires modifying maintenance schedules.",District,Backup Power,NULL,Centralized Systems,5,Centralized Systems,,,NULL,1,NULL,1,NULL,1,NULL,NULL,4,"R2A R2B R3B R4B "
13,Backup Power Conversion to Dual-fuel (District Level),Convert Existing Backup Power to Dual-fuel (District Level),"Generators that can run on two or more fuel types (e.g., diesel, natural gas) have greater flexibility than single-fuel generators in providing backup power if the fuel supply is disrupted. The goal of this strategy is to ensure that generators covering critical facility loads at the district level have the capability to use multiple fuel types. Note that Jet Propellant 8 (JP-8) is not considered a dual fuel for diesel because using JP-8 requires modifying fuel injectors and because the extended use of JP-8 requires modifying maintenance schedules.",District,Backup Power,NULL,Dual-fuel,3,Dual-fuel,,,NULL,1,NULL,1,NULL,1,NULL,NULL,4,"R2A R2B R3B R4B "
14,Priority Generator Fueling Protocol,Establish Priority Generator Fueling Protocol,"In an installation-wide and long-term outage, all generators across the base will need regular refueling. A refueling schedule would allow tracking how often each generator needs to be refueled. Additionally, prioritizing generators can determine which ones need to stay fueled at all times and which ones can run dry if refueling capabilities are constrained due to equipment, workforce, or fuel supply shortages.",Installation,Backup Power,NULL,Emergency Protocols,3,Emergency Protocols,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,"R4A R5A "
15,Centralized Generator Full-Load Testing (District Level),Test Generators Using Full Existing Loads (Installation Level),"When generators are tested, the full critical load (circuit or building) should be tested. Loads should not be shed during tests, and tests should not be conducted during off-hours. Load banks can be installed in generators that are large enough for load banks and can be used to test the full capacity of the generator beyond the critical load to help ensure that the generators are reliable for the required full load. This strategy applies to centralized generators at the district level.",District,Backup Power,NULL,Generator Testing,3,Generator Testing,,,NULL,1,NULL,1,NULL,1,NULL,NULL,3,"R2B R3B R4B "
16,Centralized Generator Hard-Drop Testing (District Level),Conduct Generator Hard-Drop Testing (Installation Level),"During an outage or emergency, the backup power for a district should be reliable and function properly. Testing backup power by cutting utility power to the installation can determine whether the power transfer systems work correctly and whether all critical loads are properly connected to the backup power. This strategy applies to centralized generators at the district level.",District,Backup Power,NULL,Generator Testing,4,Generator Testing,NULL,NULL,NULL,1,NULL,1,NULL,1,NULL,NULL,3,"R2B R3B R4B "
17,Backup Power for Fuel Pumps,Connect Backup Power Source for Fuel Pumps,"Fuel pumps may be in place for pumping fuel from bulk storage to aircraft or fleet or for generator refueling. These fueling operations may be considered critical operations and, if so, would need backup power so the operations could be sustained through an outage.",Installation,Backup Power,NULL,Install Backup System,3,Procurement,,,NULL,1,NULL,1,NULL,1,NULL,NULL,3,"R2B R3B R4B "
18,Backup Power for Security Assets,Install Backup Power for Security Assets (Building Level),"Security assets should have a reliable source of power even during unpredictable events. Backup power systems ensure that supply failure does not compromise uninterruptable security assets or functions, such as installation gates and perimeter security systems.",Installation,Backup Power,NULL,Install Backup System,4,Install Backup System,NULL,NULL,NULL,1,NULL,1,NULL,1,NULL,NULL,3,"R2B R3B R4B "
19,Backup Generator Refueling Logistics,Procure/Increase Diesel Refueling Truck Capacity,"In an installation-wide and long-term outage, refueling capabilities can be constrained by a lack of refueling equipment or a refueling prioritization plan, resulting in failure of backup power or heating systems. Procuring additional fueling trucks and/or increasing the capacity of existing equipment would resolve inadequate refueling capabilities.",Installation,Backup Power,NULL,Procurement,4,Procurement,,,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,3,"R2A R3B R5B "
20,Portable Backup Power Generators,Procure Portable Backup Power Generators,"The installation should have an adequate inventory of portable generators to meet its needs. Facilities should have connection points ready to receive a portable generator (Strategy 10, Portable Generator Quick-Connect (Building Level)). The number of available portable generators across the installation should be verified to be adequate for loads that would benefit from backup power capability but that do not qualify for real property generators.",Installation,Backup Power,NULL,Procurement,3,Procurement,,,NULL,1,NULL,1,NULL,1,NULL,NULL,3,"R2B R3B R4B "
21,Alternate Supply Paths (Backup Power),Mitigate Single Points of Failure (Backup Power),"Backup power systems can have a single point of failure. For example, a redundant generator but only one UPS is a single point of failure and represents a degradation of power availability. Requiring redundancy through all stages of the backup power system ensures that there are no single points of failure associated with the provision of backup power.",Installation,Backup Power,NULL,Single Points of Failure,5,Single Points of Failure,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"R2A "
22,Alternate Cooling Generation (Building Level),Change the Type of Cooling Generation Source (Building Level),"A building may only have one source of cooling energy during an outage. Establishing an alternate source of cooling energy at a building level reduces reliance on one type of system during an outage. For example, in the server room, a computer room air conditioning (CRAC) system can operate as a backup system for the room as well as potentially for the building by leaving the server door open.",Building,Building Systems,NULL,Alternative System or Fuel,2,Alternative System or Fuel,,,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,3,"R2B R5A R5B "
23,Alternate Heat Generation (Building Level),Change the Type of Heat Generation Source (Building Level),"A building may only have one source of heating fuel energy during an outage. Diversifying the heating fuel source reduces reliance on a single supply line or system. This strategy includes installing or upgrading building heating systems to work with multiple fuels or systems (e.g., installing both a natural gas boiler system and electric heating for localized critical loads).",Building,Building Systems,NULL,Alternative System or Fuel,2,Alternative System or Fuel,,,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,3,"R2B R5A R5B "
24,Hardened Electrical Distribution Components (Installation Level),Add Physical Protection to Electrical Distribution Components (Installation Level),"Certain components of electrical distribution systems (e.g., switches, transformers) may be at risk of physical damage from day-to-day activities at an installation. This strategy involves placing physical protection around these components to prevent accidental damage by, for example, installing ground-level transfer switches that can be protected by bollards to prevent damage from vehicles.",Installation,Power Distribution,NULL,Infrastructure Hardening,3,Infrastructure Hardening,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"R1B "
25,Simplified HVAC Systems (Reduced Component Failure),Simplify HVAC Systems (Reduced Component Failure),"Some facilities have undergone ad hoc retrofits over many years, resulting in an assortment of HVAC system types and ages that serve different zones. Simplifying and consolidating systems can reduce the number of vulnerable components and reduce O&M costs.",Building,Building Systems,NULL,Building Retrofits,1,Building Retrofits,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,"R5A R5B "
26,Thermal Energy Storage (Building Level),Install Thermal Energy Storage (Building Level),"Buildings are subject to outages during unpredictable events. Having the capability to store thermal energy (e.g., ice, chilled water, hot water storage) at the building level can provide backup supply during outages and be used to reduce peak load, save energy costs, and reduce the design requirements for primary and backup power, helping the facility reach its required sustainment capacity.",Building,Energy Storage,NULL,Energy Storage,2,Alternative System or Fuel,,,NULL,1,NULL,1,NULL,NULL,NULL,NULL,3,"R2B R3A R3B "
27,Cooling Capacity for Critical Loads (Building Level),Increase Cooling System Capacity (Building Level),"Insufficient cooling capacity for critical loads, especially during heat waves, can make work environments nonviable for personnel and can damage equipment. Ensuring that the facility’s HVAC system has sufficient cooling capacity helps meet all facility critical cooling loads (e.g., servers, critical personnel, process cooling).",Building,Building Systems,NULL,Increased System Capacity,3,Increased System Capacity,,,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,1,"R3B "
28,Heating Capacity for Critical Loads (Building Level),Increase Heating System Capacity (Building Level),"Insufficient heating capacity for critical loads, especially during cold spells, can make work environments nonviable for personnel and can damage equipment. Ensuring that the facility’s HVAC system has sufficient heating capacity helps meet all facility critical heating loads (e.g. climate controlled storage, critical personnel, process heating).",Building,Building Systems,NULL,Increased System Capacity,3,Increased System Capacity,,,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,1,"R3B "
29,Water Intrusion and Flood Risk Mitigation (Building Level),Raise or Relocate Critical Equipment (Building Level),"Buildings are susceptible to flood damage. Locating critical equipment below expected flood levels (e.g., in a basement) can increase the likelihood of water damage. Additionally, water intrusion through the building envelope during rain events can damage critical equipment such as servers. Water intrusion through storm/sanitary sewer drain blockages can further cause mission disruption if sewage backs up into sensitive equipment or critical operations rooms. Raising the elevation of critical equipment to above the expected flood level and addressing critical water intrusion issues can avoid such damage.",Building,Other,NULL,Infrastructure Hardening,3,Infrastructure Hardening,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"R1B "
30,Portable HVAC System Tie-in Connection (Building Level),Install Portable HVAC System Tie-in Connection (Building Level),"If a facility has a critical heating or cooling load, providing a backup heating or cooling system will ensure that the loads can be met in case of equipment or system failure. If a load is not deemed so critical that it requires a permanent backup system but equipment failure would cause mission degradation, enabling a tie-in connection for a portable backup system (such as a chiller or boiler) can provide sufficient redundancy at lower cost.",Building,Building Systems,NULL,Install Backup System,1,Install Backup System,,NULL,NULL,1,NULL,1,NULL,NULL,NULL,NULL,4,"R2B R3B R4A R5B "
31,Portable Backup HVAC Systems (Building Level),Procure Portable Backup HVAC Systems (Building Level),The required capacity of building HVAC systems varies. Portable HVAC systems such as chillers and boilers of different sizes can adequately meet the variable capacity demands across the installation. Portable HVAC systems require a portable HVAC system tie-in.,Building,Building Systems,NULL,Procurement,1,Procurement,,,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,2,"R3B R5B "
32,Dedicated Electrical Circuit for Critical Loads (Building Level),Install a Dedicated Electrical Circuit for Critical Loads (Building Level),"Critical loads of a building must be met during unpredictable events. Dedicating an electrical circuit for critical loads in a facility can enable the isolation of critical loads when providing backup power. If not all loads within a facility are critical, configuring the backup power system so it powers just the critical circuits can lower the required sustainment capacity and extend the time frame during which loads can be supported in an outage.",Building,Power Distribution,NULL,Single Points of Failure,4,Single Points of Failure,,,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,2,"R2A R3B "
33,Redundant HVAC Systems for Critical Loads (Building Level),Install Redundant HVAC Systems for Critical Loads (Building Level),"If a facility has a critical heating or cooling load, ensuring redundancy in the heating or cooling system can mitigate the impact of equipment or source failure. For example, installing extra CRAC units provides redundant cooling capacity in a critical server room.",Building,Building Systems,NULL,Single Points of Failure,5,Single Points of Failure,,,NULL,1,NULL,1,NULL,NULL,NULL,NULL,3,"R2B R3B R5B "
34,Alternate Cooling Generation (District Level),Change the Type of Cooling Generation Source (District Level),"A district may have only one source of cooling energy during an outage. Establishing an alternate source of cooling energy at the district level reduces reliance on one type of system during an outage (e.g., capturing wasted cooling from LNG or propane storage, natural gas / steam adsorption chillers as an alternative to electric chillers).",District,Building Systems,NULL,Alternative System or Fuel,1,Alternative System or Fuel,,,NULL,1,NULL,1,NULL,NULL,NULL,NULL,3,"R2B R3B R5B "
35,Alternate Heat Generation (District Level),Change the Type of Heat Generation Source (District Level),"A district may have only one source of heating fuel energy during an outage. Diversifying the heating fuel source reduces reliance on a single supply line. This strategy includes installing or upgrading heating systems at the district level that can operate with multiple fuels or systems (for example, installing electric heat pumps and boilers that can operate on both natural and propane gas).",District,Building Systems,NULL,Alternative System or Fuel,1,Alternative System or Fuel,,,NULL,1,NULL,1,NULL,NULL,NULL,NULL,3,"R2B R3B R5B "
36,Centralized Cooling System (District Level),Install a Centralized District-level Cooling System (District Level),"A centralized cooling system consists of a central plant that generates chilled water that serves connected facilities. Centralizing cooling systems at a district level can improve redundancy for critical loads when coupled with a localized cooling source. Centralizing cooling systems also consolidates and reduces the primary equipment that must be maintained, potentially easing preventative maintenance and reducing the critical sustainment capacity requirement.",District,Building Systems,NULL,Centralized Systems,2,Centralized Systems,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,"R3A R5A "
37,Centralized Heating System (District Level),Install a Centralized District-level Heating System (District Level),"A centralized heating system consists of a central plant that generates hot water or steam that serves connected facilities. Centralizing heating systems at a district level can improve redundancy when coupled with a localized heating source. Centralizing heating systems also consolidates and reduces the primary equipment that must be maintained, potentially easing preventative maintenance and reducing the critical sustainment capacity requirement.",District,Building Systems,NULL,Centralized Systems,2,Centralized Systems,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,"R3A R5A "
38,Thermal Energy Storage (District Level),Install Thermal Energy Storage (District Level),"Buildings are subject to outages during unpredictable events. Having the capability to store thermal energy (e.g., ice, chilled water, hot water storage) can provide backup supply during an outage and also be used to reduce peak load, save energy costs, reduce peak capacity requirements, and help the facility reach its required sustainment capacity. This strategy requires a centralized cooling or heating system at the district level.",District,Energy Storage,NULL,Energy Storage,2,Alternative System or Fuel,,,NULL,1,NULL,1,NULL,NULL,NULL,NULL,3,"R2B R3A R3B "
39,Cooling System Capacity (District Level),Increase Cooling System Capacity (District Level),Having a centralized cooling system with sufficient capacity increases the available cooling supply in the event of a localized equipment fault.,District,Building Systems,NULL,Increased System Capacity,2,Increased System Capacity,,,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,1,"R3B "
40,Heating System Capacity (District Level),Increase Heating System Capacity (District Level),Having a centralized heating system with sufficient capacity increases the available heating supply in the event of a localized equipment fault.,District,Building Systems,NULL,Increased System Capacity,2,Increased System Capacity,,,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,1,"R3B "
41,Alternate Cooling Generation (Installation Level),Change the Type of Cooling Generation Source (Installation Level),"Installations are subject to outages during unpredictable events. Establishing an alternate source of cooling energy at an installation level reduces reliance on one type of system during an event (e.g., capturing wasted cooling from LNG or propane storage, natural gas / steam adsorption chillers as an alternative to electric chillers). An alternate source of cooling energy is applicable only if the installation is served by one or more central cooling plants.",Installation,Building Systems,NULL,Alternative System or Fuel,1,Alternative System or Fuel,,,NULL,1,NULL,1,NULL,NULL,NULL,NULL,3,"R2B R3B R5B "
42,Alternate Heat Generation (Installation Level),Change the Type of Heat Generation Source (Installation Level),"Installations are subject to outages during unpredictable events. Diversifying the heating fuel source reduces reliance on a single supply line or system. This strategy includes installing or upgrading heating systems across the installation that operate with multiple fuels (for example, installing electric heat pumps and boilers that can operate on both natural and propane gas).",Installation,Building Systems,NULL,Alternative System or Fuel,1,Alternative System or Fuel,,,NULL,1,NULL,1,NULL,NULL,NULL,NULL,3,"R2B R3B R5B "
43,Centralized Cooling System (Installation Level),Install a Centralized Installation-level Cooling System (Installation Level),"A centralized cooling system consists of a central plant that generates chilled water that serves connected facilities. Centralizing cooling systems at an installation level can improve redundancy for critical loads when coupled with localized cooling sources. Centralizing cooling systems also consolidates and reduces the primary equipment that must be maintained, potentially easing preventative maintenance and reducing the critical sustainment capacity requirement.",Installation,Building Systems,NULL,Centralized Systems,2,Centralized Systems,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,"R3A R5A "
44,Centralized Heating System (Installation Level),Install a Centralized Installation-level Heating System (Installation Level),"A centralized heating system consists of a central plant that generates hot water or steam that serves connected facilities. Centralizing heating systems at an installation level can improve redundancy when coupled with localized heating sources. Centralizing heating systems also consolidates and reduces the primary equipment that must be maintained, potentially easing preventative maintenance and reducing the critical sustainment capacity requirement.",Installation,Building Systems,NULL,Centralized Systems,2,Centralized Systems,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,"R3A R5A "
45,Alternate Communications Connection or System,Install Alternative Communications Connection or System,Building communications systems are subject to failure during unpredictable events. Establishing alternate communications routes for energy systems provides a backup control route if a primary system is compromised.,Building,Controls & COMS,NULL,Alternative System or Fuel,4,Alternative System or Fuel,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,"R1A R2A R4A R5A "
46,Building Systems Monitoring,Install Systems Monitoring Equipment,Monitoring a building’s energy system performance allows localized response to issues and optimization opportunities. Monitoring can identify equipment that is compromised and resources whose consumption could be reduced.,Building,Controls & COMS,NULL,Energy Management,3,Cybersecurity,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,"R1A R4A R5A "
47,Energy Management and Control Systems (EMCS) (Building Level),Install/Expand Energy Management Control Systems (Building Level),"Rapid response time and sustainment of critical loads of buildings must be consistent. Installing an EMCS allows monitoring and controlling energy systems at a building level, which can enhance response time to system issues and increase sustainment time by curtailing noncritical loads.",Building,Energy Management,NULL,Energy Management,3,Energy Management,NULL,,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,4,"R1A R3A R4B R5A "
48,Isolated Communications Strands / Zones,Isolate Communications Strands / Zones,"Isolating energy communications networks from other base communications networks improves the security of both. If one system is compromised, the separation can protect the other. This strategy focuses on the segregation of SCADA/energy systems from the rest of the base communications network to mitigate hacking vulnerability. Virtual Local Area Networks (VLANs) are acceptable, such as a Community of Interest Network Enclave (COINE) network.",Installation,Controls & COMS,NULL,Cybersecurity,4,Cybersecurity,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,2,"R1A R4B "
49,Priority Load-Shedding Protocol,Establish a Priority Load-shedding Protocol,"If the installation is facing a power outage or energy supply shortage, critical energy demands will need to be met while noncritical demands can be shed. This strategy involves prioritizing critical energy demands to establish an order in which loads can be shed in the event of limited electricity supply.",Installation,Controls & COMS,NULL,Emergency Protocols,3,Emergency Protocols,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,"R3A R4A "
50,Centralized Emergency Operations Center (EOC),Establish a Centralized EOC,"During an unpredictable event, critical personnel should have an established centralized location for the active monitoring of system data and response coordination, which would be in an EOC that is staffed 24/7/365. For the monitoring to be fully effective, a base-wide SCADA system is required.",Installation,Other,NULL,Cybersecurity,2,Cybersecurity,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,"R4A R5A "
51,Communications Network Encryption,Encrypt Communications Network,Installations are subject to cyberattacks. Adding sufficient encryption to the energy communications networks allows additional protection from cyberattacks.,Installation,Controls & COMS,NULL,Cybersecurity,5,Cybersecurity,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"R1A "
52,Installation-wide SCADA System (Energy),Install/Upgrade Base-Wide SCADA System (Energy),"SCADA systems for energy allow personnel to monitor and, if necessary, operate all of the installation’s energy systems from a single terminal and/or remotely. SCADA systems can reduce workforce needs, allow rapid identification of equipment failures, and speed recovery from failures. SCADA systems require appropriate cybersecurity measures.",Installation,Controls & COMS,NULL,Energy Management,3,Energy Management,NULL,,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,3,"R1A R4B R5A "
53,Energy Management System Personnel,Assign Personnel to Energy Management Duties,Energy management systems help ensure that critical energy loads are sustained throughout the installation. Assigning personnel to monitor and review data from energy management systems and respond to identified issues improves system efficiency and reliability. This strategy is more effective when combined with installation-level management and control systems.,Installation,Energy Management,NULL,Personnel Capacity,1,Personnel Capacity,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,"R3A R4A R5A "
54,Alternate Supply Paths (Communications),Mitigate Single Points of Failure (Communications),"A single point of failure in the communications system means that failure at one point causes disruption to all downstream nodes. This strategy includes looping all communications lines that come from the base communications hub, interconnecting information transfer nodes, providing redundant conduits, and using other strategies that enable alternate communications routes if an element of the system fails.",Installation,Controls & COMS,NULL,Single Points of Failure,5,Single Points of Failure,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,"R1A R1B R2A "
55,Building Envelope Sealing (Building Level),Implement Building Envelope Sealing Strategies (Building Level),"Building envelope conditions can have a significant impact on the HVAC energy demand for a facility and during outages and can lengthen or shorten the amount time before personnel must evacuate the facility because of diminished thermal comfort (i.e., temperature drop or rise). Sealing the facility envelope reduces the flow of outdoor air seeping in through cracks and joints (e.g., doors, window frames) and corresponding required conditioning.",Building,ECMs,NULL,Building Retrofits,3,Building Retrofits,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"R3A "
56,HVAC Performance Upgrades (Building Level),Upgrade HVAC Equipment to Increase Performance (Building Level),"Facilities are commonly found to have underperforming HVAC systems (heating and/or cooling). During normal operation, underperformance can cause mission degradation when certain zones are outside the required thermal range but must be occupied or are required for equipment operation. During outage conditions, any underperforming HVAC systems that are powered by backup systems may consume more energy than needed. Upgrading HVAC systems can improve mission performance and reduce backup power requirements.",Building,ECMs,NULL,Building Retrofits,1,Building Retrofits,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"R3A "
57,Lighting Performance Upgrades (Building Level),Upgrade Lighting to Increase Performance (Building Level),"Reducing total electricity demand reduces the critical electricity demand, which in turn increases the sustainment capacity of existing backup power capacity and lowers the cost of proposed backup power capacity (both in terms of capacity and energy storage duration). Upgrading lighting (e.g., replacing fluorescent lamps with light-emitting diode [LED] lamps) can cost-effectively reduce electricity demand.",Building,ECMs,NULL,Building Retrofits,1,Building Retrofits,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"R3A "
58,Plug Load Management (Building Level),Implement Plug Load Management Strategies (Building Level),"Backup power systems may power noncritical loads, which would decrease sustainment duration during outages. Managing and reducing plug load demand at a building level can increase sustainment duration during outages. This strategy includes installing switches at the equipment or circuit level to allow load shedding when required.",Building,Energy Management,NULL,Building Retrofits,1,Building Retrofits,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,"R3A R4A "
59,System Recommissioning and Rebalancing (Building Level),Recommission Buildings (Building Level),"Over time, a facility’s HVAC equipment settings can deviate from the initial facility commissioning settings. Recommissioning the facility periodically (e.g., every 5 years) includes restoring the initial settings and making additional adjustments to the equipment, both of which can reduce energy demand and lengthen equipment lifespan at relatively low cost. Rebalancing a facility includes ensuring that the correct thermal flow is reaching the correct loads, especially if a facility has been repurposed from its original design. Rebalancing includes reducing or adding new controls and monitors where needed.",Building,ECMs,NULL,Building Retrofits,2,Building Retrofits,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"R3A "
