prelim_gap_id,prelim_gap_description,gap_library_id,gap_library_description,relevancy_score,IEP Entry ID,Mission,Mission or Installation Wide,Resource Category,Installation(s),Installation_Cd,Gap_Or_Opportunity?
15," Capacity issues sometimes cause circuit breakers to trip on mission training computers at the 54 ARS annex facility.",45,Lacking┬á or no access to adequate power surge protection systems,70,M1-G2,Operations Mission Set,Mission,Power,ALTUS AFB,AGGN,Resilience Gap
15," Capacity issues sometimes cause circuit breakers to trip on mission training computers at the 54 ARS annex facility.",17,Asset is aged / lacking adequate performance,65,M1-G2,Operations Mission Set,Mission,Power,ALTUS AFB,AGGN,Resilience Gap
15," Capacity issues sometimes cause circuit breakers to trip on mission training computers at the 54 ARS annex facility.",8,Lacking redundant electrical feed,55,M1-G2,Operations Mission Set,Mission,Power,ALTUS AFB,AGGN,Resilience Gap
18,"Although covered by the 9 MW standby generator system, simulators are not on building- or equipment-level generators and take extended time to reboot when they lose power.",1,Lacking backup power,90,M1-G1,Operations Mission Set,Mission,Power,ALTUS AFB,AGGN,Resilience Gap
18,"Although covered by the 9 MW standby generator system, simulators are not on building- or equipment-level generators and take extended time to reboot when they lose power.",5,Lacking building-level UPS,85,M1-G1,Operations Mission Set,Mission,Power,ALTUS AFB,AGGN,Resilience Gap
18,"Although covered by the 9 MW standby generator system, simulators are not on building- or equipment-level generators and take extended time to reboot when they lose power.",6,Lacking UPS for critical equipment,85,M1-G1,Operations Mission Set,Mission,Power,ALTUS AFB,AGGN,Resilience Gap
18,"Although covered by the 9 MW standby generator system, simulators are not on building- or equipment-level generators and take extended time to reboot when they lose power.",23,Lacking or no access to adequate graceful shutdown procedure,75,M1-G1,Operations Mission Set,Mission,Power,ALTUS AFB,AGGN,Resilience Gap
18,"Although covered by the 9 MW standby generator system, simulators are not on building- or equipment-level generators and take extended time to reboot when they lose power.",4,Generator requires adequate sizing / testing,65,M1-G1,Operations Mission Set,Mission,Power,ALTUS AFB,AGGN,Resilience Gap
24,"There are no automatic sectionalizers on distribution lines. The base relies on manual operation of switches. This can extend the length of an outage while the faulted section is identified and isolated manually. ",40,Lacking electrical transmission distribution controls,95,G22,_ALL INSTALLATION,Installation,Power Distribution,ALTUS AFB,AGGN,Resilience Gap
24,"There are no automatic sectionalizers on distribution lines. The base relies on manual operation of switches. This can extend the length of an outage while the faulted section is identified and isolated manually. ",47,"Requirements are inadequately manual, automated / modernized system is needed",90,G22,_ALL INSTALLATION,Installation,Power Distribution,ALTUS AFB,AGGN,Resilience Gap
24,"There are no automatic sectionalizers on distribution lines. The base relies on manual operation of switches. This can extend the length of an outage while the faulted section is identified and isolated manually. ",32,Lacking or no access to remote controls / operations,80,G22,_ALL INSTALLATION,Installation,Power Distribution,ALTUS AFB,AGGN,Resilience Gap
24,"There are no automatic sectionalizers on distribution lines. The base relies on manual operation of switches. This can extend the length of an outage while the faulted section is identified and isolated manually. ",39,Lacking electrical transmission distribution/connection systems,75,G22,_ALL INSTALLATION,Installation,Power Distribution,ALTUS AFB,AGGN,Resilience Gap
24,"There are no automatic sectionalizers on distribution lines. The base relies on manual operation of switches. This can extend the length of an outage while the faulted section is identified and isolated manually. ",71,Lacking advanced grid control/integration capabilities,70,G22,_ALL INSTALLATION,Installation,Power Distribution,ALTUS AFB,AGGN,Resilience Gap
26,"There are 12 EAID generators at the base, and 11 have been assigned to a facility.  The EAID generator assigned to the gymnasium is undersized. The gymnasium serves an emergency response function in a contingency scenario.",4,Generator requires adequate sizing / testing,95,G4,_ALL INSTALLATION,Installation,Backup Power,ALTUS AFB,AGGN,Resilience Gap
26,"There are 12 EAID generators at the base, and 11 have been assigned to a facility.  The EAID generator assigned to the gymnasium is undersized. The gymnasium serves an emergency response function in a contingency scenario.",1,Lacking backup power,85,G4,_ALL INSTALLATION,Installation,Backup Power,ALTUS AFB,AGGN,Resilience Gap
26,"There are 12 EAID generators at the base, and 11 have been assigned to a facility.  The EAID generator assigned to the gymnasium is undersized. The gymnasium serves an emergency response function in a contingency scenario.",10,Lacking or requires upgrades to centralized asset / system,75,G4,_ALL INSTALLATION,Installation,Backup Power,ALTUS AFB,AGGN,Resilience Gap
26,"There are 12 EAID generators at the base, and 11 have been assigned to a facility.  The EAID generator assigned to the gymnasium is undersized. The gymnasium serves an emergency response function in a contingency scenario.",14,Lacking adequate non-generator asset /system capacity,65,G4,_ALL INSTALLATION,Installation,Backup Power,ALTUS AFB,AGGN,Resilience Gap
26,"There are 12 EAID generators at the base, and 11 have been assigned to a facility.  The EAID generator assigned to the gymnasium is undersized. The gymnasium serves an emergency response function in a contingency scenario.",22,Lacking emergency operations protocol / logistics / alerts / comms,55,G4,_ALL INSTALLATION,Installation,Backup Power,ALTUS AFB,AGGN,Resilience Gap
28,"The three gates and associated final denial barriers have assigned, portable backup generators. However, there is no automatic transfer to backup power generation. There would be a delay to locate, connect, and start the portable backup power generation in an outage. Manual operation of the final denial barriers is impractical and time-consuming.",47,"Requirements are inadequately manual, automated / modernized system is needed",95,G3,_ALL INSTALLATION,Installation,Backup Power,ALTUS AFB,AGGN,Resilience Gap
28,"The three gates and associated final denial barriers have assigned, portable backup generators. However, there is no automatic transfer to backup power generation. There would be a delay to locate, connect, and start the portable backup power generation in an outage. Manual operation of the final denial barriers is impractical and time-consuming.",2,Lacking┬á access to┬áportable backup power,85,G3,_ALL INSTALLATION,Installation,Backup Power,ALTUS AFB,AGGN,Resilience Gap
28,"The three gates and associated final denial barriers have assigned, portable backup generators. However, there is no automatic transfer to backup power generation. There would be a delay to locate, connect, and start the portable backup power generation in an outage. Manual operation of the final denial barriers is impractical and time-consuming.",3,Lacking┬ágenerator quick-connect tie-in connection,80,G3,_ALL INSTALLATION,Installation,Backup Power,ALTUS AFB,AGGN,Resilience Gap
28,"The three gates and associated final denial barriers have assigned, portable backup generators. However, there is no automatic transfer to backup power generation. There would be a delay to locate, connect, and start the portable backup power generation in an outage. Manual operation of the final denial barriers is impractical and time-consuming.",32,Lacking or no access to remote controls / operations,75,G3,_ALL INSTALLATION,Installation,Backup Power,ALTUS AFB,AGGN,Resilience Gap
28,"The three gates and associated final denial barriers have assigned, portable backup generators. However, there is no automatic transfer to backup power generation. There would be a delay to locate, connect, and start the portable backup power generation in an outage. Manual operation of the final denial barriers is impractical and time-consuming.",37,Lacking┬á or no access to┬á hardening / safety or security improvements,70,G3,_ALL INSTALLATION,Installation,Backup Power,ALTUS AFB,AGGN,Resilience Gap
29,The substation lacks an upgraded substation control package that would provide remote control capabilities.,32,Lacking or no access to remote controls / operations,95,G26,_ALL INSTALLATION,Installation,Power Distribution,ALTUS AFB,AGGN,Resilience Gap
29,The substation lacks an upgraded substation control package that would provide remote control capabilities.,40,Lacking electrical transmission distribution controls,90,G26,_ALL INSTALLATION,Installation,Power Distribution,ALTUS AFB,AGGN,Resilience Gap
29,The substation lacks an upgraded substation control package that would provide remote control capabilities.,10,Lacking or requires upgrades to centralized asset / system,80,G26,_ALL INSTALLATION,Installation,Power Distribution,ALTUS AFB,AGGN,Resilience Gap
29,The substation lacks an upgraded substation control package that would provide remote control capabilities.,71,Lacking advanced grid control/integration capabilities,75,G26,_ALL INSTALLATION,Installation,Power Distribution,ALTUS AFB,AGGN,Resilience Gap
29,The substation lacks an upgraded substation control package that would provide remote control capabilities.,47,"Requirements are inadequately manual, automated / modernized system is needed",70,G26,_ALL INSTALLATION,Installation,Power Distribution,ALTUS AFB,AGGN,Resilience Gap
30,"The installation has one diesel truck with a 1,200-gallon capacity for refueling base generators. The truck has been sufficient, although for a base-wide outage, a second refueling truck would provide the additional refueling capacity and redundancy, as long as there is capacity to keep both trucks properly maintained. The service station does not have a backup generator, which means that truck capacity is also important to keeping emergency vehicles fueled with diesel and MOGAS.",12,Lacks adequate resupply/refueling protocol/logistics,95,G1,_ALL INSTALLATION,Installation,Backup Power,ALTUS AFB,AGGN,Resilience Opportunity
30,"The installation has one diesel truck with a 1,200-gallon capacity for refueling base generators. The truck has been sufficient, although for a base-wide outage, a second refueling truck would provide the additional refueling capacity and redundancy, as long as there is capacity to keep both trucks properly maintained. The service station does not have a backup generator, which means that truck capacity is also important to keeping emergency vehicles fueled with diesel and MOGAS.",60,Insufficient on-site storage capacity for critical resources,85,G1,_ALL INSTALLATION,Installation,Backup Power,ALTUS AFB,AGGN,Resilience Opportunity
30,"The installation has one diesel truck with a 1,200-gallon capacity for refueling base generators. The truck has been sufficient, although for a base-wide outage, a second refueling truck would provide the additional refueling capacity and redundancy, as long as there is capacity to keep both trucks properly maintained. The service station does not have a backup generator, which means that truck capacity is also important to keeping emergency vehicles fueled with diesel and MOGAS.",1,Lacking backup power,80,G1,_ALL INSTALLATION,Installation,Backup Power,ALTUS AFB,AGGN,Resilience Opportunity
30,"The installation has one diesel truck with a 1,200-gallon capacity for refueling base generators. The truck has been sufficient, although for a base-wide outage, a second refueling truck would provide the additional refueling capacity and redundancy, as long as there is capacity to keep both trucks properly maintained. The service station does not have a backup generator, which means that truck capacity is also important to keeping emergency vehicles fueled with diesel and MOGAS.",13,Asset / system requires standardization / optimization / simplification,70,G1,_ALL INSTALLATION,Installation,Backup Power,ALTUS AFB,AGGN,Resilience Opportunity
30,"The installation has one diesel truck with a 1,200-gallon capacity for refueling base generators. The truck has been sufficient, although for a base-wide outage, a second refueling truck would provide the additional refueling capacity and redundancy, as long as there is capacity to keep both trucks properly maintained. The service station does not have a backup generator, which means that truck capacity is also important to keeping emergency vehicles fueled with diesel and MOGAS.",22,Lacking emergency operations protocol / logistics / alerts / comms,65,G1,_ALL INSTALLATION,Installation,Backup Power,ALTUS AFB,AGGN,Resilience Opportunity
31,"The installation has a 1970s-era, air-insulated switching station, and the equipment needs to be upgraded because parts are becoming more difficult to find. There is one transmission line coming in overhead to the baseΓÇÖs substation. The poles for the line along the mile between where it enters the substation and the city's radio loop are aged and in need of replacement by WFEC.",17,Asset is aged / lacking adequate performance,95,G21,_ALL INSTALLATION,Installation,Power Distribution,ALTUS AFB,AGGN,Resilience Gap
31,"The installation has a 1970s-era, air-insulated switching station, and the equipment needs to be upgraded because parts are becoming more difficult to find. There is one transmission line coming in overhead to the baseΓÇÖs substation. The poles for the line along the mile between where it enters the substation and the city's radio loop are aged and in need of replacement by WFEC.",20,Lacking or no access to parts / replacement assets,90,G21,_ALL INSTALLATION,Installation,Power Distribution,ALTUS AFB,AGGN,Resilience Gap
31,"The installation has a 1970s-era, air-insulated switching station, and the equipment needs to be upgraded because parts are becoming more difficult to find. There is one transmission line coming in overhead to the baseΓÇÖs substation. The poles for the line along the mile between where it enters the substation and the city's radio loop are aged and in need of replacement by WFEC.",39,Lacking electrical transmission distribution/connection systems,85,G21,_ALL INSTALLATION,Installation,Power Distribution,ALTUS AFB,AGGN,Resilience Gap
31,"The installation has a 1970s-era, air-insulated switching station, and the equipment needs to be upgraded because parts are becoming more difficult to find. There is one transmission line coming in overhead to the baseΓÇÖs substation. The poles for the line along the mile between where it enters the substation and the city's radio loop are aged and in need of replacement by WFEC.",10,Lacking or requires upgrades to centralized asset / system,80,G21,_ALL INSTALLATION,Installation,Power Distribution,ALTUS AFB,AGGN,Resilience Gap
31,"The installation has a 1970s-era, air-insulated switching station, and the equipment needs to be upgraded because parts are becoming more difficult to find. There is one transmission line coming in overhead to the baseΓÇÖs substation. The poles for the line along the mile between where it enters the substation and the city's radio loop are aged and in need of replacement by WFEC.",8,Lacking redundant electrical feed,75,G21,_ALL INSTALLATION,Installation,Power Distribution,ALTUS AFB,AGGN,Resilience Gap
36,"The base can keep operations running solely on the 9 MW standby generator system during an outage. However, the lack of on-base generation means that islanding is fully reliant on the delivery of diesel fuel. The base also lacks the controls for a fully functional microgrid. The 9 MW standby generator system is not connected to the adjacent housing.",33,Requires Microgrid solution,95,G24,_ALL INSTALLATION,Installation,Power Distribution,ALTUS AFB,AGGN,Resilience Opportunity
36,"The base can keep operations running solely on the 9 MW standby generator system during an outage. However, the lack of on-base generation means that islanding is fully reliant on the delivery of diesel fuel. The base also lacks the controls for a fully functional microgrid. The 9 MW standby generator system is not connected to the adjacent housing.",12,Lacks adequate resupply/refueling protocol/logistics,85,G24,_ALL INSTALLATION,Installation,Power Distribution,ALTUS AFB,AGGN,Resilience Opportunity
36,"The base can keep operations running solely on the 9 MW standby generator system during an outage. However, the lack of on-base generation means that islanding is fully reliant on the delivery of diesel fuel. The base also lacks the controls for a fully functional microgrid. The 9 MW standby generator system is not connected to the adjacent housing.",40,Lacking electrical transmission distribution controls,80,G24,_ALL INSTALLATION,Installation,Power Distribution,ALTUS AFB,AGGN,Resilience Opportunity
36,"The base can keep operations running solely on the 9 MW standby generator system during an outage. However, the lack of on-base generation means that islanding is fully reliant on the delivery of diesel fuel. The base also lacks the controls for a fully functional microgrid. The 9 MW standby generator system is not connected to the adjacent housing.",34,Lacking access to alternate / renewable electrical power source,70,G24,_ALL INSTALLATION,Installation,Power Distribution,ALTUS AFB,AGGN,Resilience Opportunity
36,"The base can keep operations running solely on the 9 MW standby generator system during an outage. However, the lack of on-base generation means that islanding is fully reliant on the delivery of diesel fuel. The base also lacks the controls for a fully functional microgrid. The 9 MW standby generator system is not connected to the adjacent housing.",1,Lacking backup power,65,G24,_ALL INSTALLATION,Installation,Power Distribution,ALTUS AFB,AGGN,Resilience Opportunity
44,"Most overhead equipment and all distribution lines have been relocated underground. However, the switching station near the front gate remains a vulnerability for the base. During the last two ice storms, aboveground switches have frozen and stuck. Conductors that are too close together are the cause of occasional shorts from animal intrusion. The switching station has been the largest cause of outages since the overhead equipment was relocated underground.",37,Lacking┬á or no access to┬á hardening / safety or security improvements,95,G23,_ALL INSTALLATION,Installation,Power Distribution,ALTUS AFB,AGGN,Resilience Gap
44,"Most overhead equipment and all distribution lines have been relocated underground. However, the switching station near the front gate remains a vulnerability for the base. During the last two ice storms, aboveground switches have frozen and stuck. Conductors that are too close together are the cause of occasional shorts from animal intrusion. The switching station has been the largest cause of outages since the overhead equipment was relocated underground.",9,Climate/weather/temperature conditions limit system capability,90,G23,_ALL INSTALLATION,Installation,Power Distribution,ALTUS AFB,AGGN,Resilience Gap
44,"Most overhead equipment and all distribution lines have been relocated underground. However, the switching station near the front gate remains a vulnerability for the base. During the last two ice storms, aboveground switches have frozen and stuck. Conductors that are too close together are the cause of occasional shorts from animal intrusion. The switching station has been the largest cause of outages since the overhead equipment was relocated underground.",39,Lacking electrical transmission distribution/connection systems,80,G23,_ALL INSTALLATION,Installation,Power Distribution,ALTUS AFB,AGGN,Resilience Gap
44,"Most overhead equipment and all distribution lines have been relocated underground. However, the switching station near the front gate remains a vulnerability for the base. During the last two ice storms, aboveground switches have frozen and stuck. Conductors that are too close together are the cause of occasional shorts from animal intrusion. The switching station has been the largest cause of outages since the overhead equipment was relocated underground.",17,Asset is aged / lacking adequate performance,75,G23,_ALL INSTALLATION,Installation,Power Distribution,ALTUS AFB,AGGN,Resilience Gap
44,"Most overhead equipment and all distribution lines have been relocated underground. However, the switching station near the front gate remains a vulnerability for the base. During the last two ice storms, aboveground switches have frozen and stuck. Conductors that are too close together are the cause of occasional shorts from animal intrusion. The switching station has been the largest cause of outages since the overhead equipment was relocated underground.",57,Substation location presents vulnerabilities or access challenges,70,G23,_ALL INSTALLATION,Installation,Power Distribution,ALTUS AFB,AGGN,Resilience Gap
48,"During an outage, the base must send personnel to the compromised location, which compared to a grid operatorΓÇÖs ability to reroute the power supply remotely, increases recovery time. Non-critical systems may be shut down to conserve energy during an outage, but shutdown would have to be done manually at the equipment level, where the EMCS is not operational.",32,Lacking or no access to remote controls / operations,95,G25,_ALL INSTALLATION,Installation,Power Distribution,ALTUS AFB,AGGN,Resilience Opportunity
48,"During an outage, the base must send personnel to the compromised location, which compared to a grid operatorΓÇÖs ability to reroute the power supply remotely, increases recovery time. Non-critical systems may be shut down to conserve energy during an outage, but shutdown would have to be done manually at the equipment level, where the EMCS is not operational.",47,"Requirements are inadequately manual, automated / modernized system is needed",90,G25,_ALL INSTALLATION,Installation,Power Distribution,ALTUS AFB,AGGN,Resilience Opportunity
48,"During an outage, the base must send personnel to the compromised location, which compared to a grid operatorΓÇÖs ability to reroute the power supply remotely, increases recovery time. Non-critical systems may be shut down to conserve energy during an outage, but shutdown would have to be done manually at the equipment level, where the EMCS is not operational.",23,Lacking or no access to adequate graceful shutdown procedure,85,G25,_ALL INSTALLATION,Installation,Power Distribution,ALTUS AFB,AGGN,Resilience Opportunity
48,"During an outage, the base must send personnel to the compromised location, which compared to a grid operatorΓÇÖs ability to reroute the power supply remotely, increases recovery time. Non-critical systems may be shut down to conserve energy during an outage, but shutdown would have to be done manually at the equipment level, where the EMCS is not operational.",40,Lacking electrical transmission distribution controls,80,G25,_ALL INSTALLATION,Installation,Power Distribution,ALTUS AFB,AGGN,Resilience Opportunity
48,"During an outage, the base must send personnel to the compromised location, which compared to a grid operatorΓÇÖs ability to reroute the power supply remotely, increases recovery time. Non-critical systems may be shut down to conserve energy during an outage, but shutdown would have to be done manually at the equipment level, where the EMCS is not operational.",16,Lacking or no access to adequate building systems assets / systems,70,G25,_ALL INSTALLATION,Installation,Power Distribution,ALTUS AFB,AGGN,Resilience Opportunity
49,"Both ramps have backup generators for aviation fuel pumps, but the South Ramp generator needs replacement. The generator is old and obsolete, making it difficult to find replacement parts. The capacity is also insufficient, as it cannot support the whole ramp, just  Additionally, the bulk storage area, which includes aviation fuel and diesel storage, does not have a permanent generator. Pumps are needed for both filling the tanks and dispensing diesel fuel. The bulk storage area has a quick-connect available for Power Production (Power Pro) to connect a portable generator and would be considered a high priority for getting connected. However, there could be a delay in the time it takes to locate and connect the mobile generator, which could further delay diesel distribution to vehicles and generators and the ability to receive aviation fuel into bulk storage.a couple of the pumps, which means flow rates go down in an outage.",17,Asset is aged / lacking adequate performance,95,G2,_ALL INSTALLATION,Installation,Backup Power,ALTUS AFB,AGGN,Resilience Gap
49,"Both ramps have backup generators for aviation fuel pumps, but the South Ramp generator needs replacement. The generator is old and obsolete, making it difficult to find replacement parts. The capacity is also insufficient, as it cannot support the whole ramp, just  Additionally, the bulk storage area, which includes aviation fuel and diesel storage, does not have a permanent generator. Pumps are needed for both filling the tanks and dispensing diesel fuel. The bulk storage area has a quick-connect available for Power Production (Power Pro) to connect a portable generator and would be considered a high priority for getting connected. However, there could be a delay in the time it takes to locate and connect the mobile generator, which could further delay diesel distribution to vehicles and generators and the ability to receive aviation fuel into bulk storage.a couple of the pumps, which means flow rates go down in an outage.",4,Generator requires adequate sizing / testing,90,G2,_ALL INSTALLATION,Installation,Backup Power,ALTUS AFB,AGGN,Resilience Gap
49,"Both ramps have backup generators for aviation fuel pumps, but the South Ramp generator needs replacement. The generator is old and obsolete, making it difficult to find replacement parts. The capacity is also insufficient, as it cannot support the whole ramp, just  Additionally, the bulk storage area, which includes aviation fuel and diesel storage, does not have a permanent generator. Pumps are needed for both filling the tanks and dispensing diesel fuel. The bulk storage area has a quick-connect available for Power Production (Power Pro) to connect a portable generator and would be considered a high priority for getting connected. However, there could be a delay in the time it takes to locate and connect the mobile generator, which could further delay diesel distribution to vehicles and generators and the ability to receive aviation fuel into bulk storage.a couple of the pumps, which means flow rates go down in an outage.",1,Lacking backup power,85,G2,_ALL INSTALLATION,Installation,Backup Power,ALTUS AFB,AGGN,Resilience Gap
49,"Both ramps have backup generators for aviation fuel pumps, but the South Ramp generator needs replacement. The generator is old and obsolete, making it difficult to find replacement parts. The capacity is also insufficient, as it cannot support the whole ramp, just  Additionally, the bulk storage area, which includes aviation fuel and diesel storage, does not have a permanent generator. Pumps are needed for both filling the tanks and dispensing diesel fuel. The bulk storage area has a quick-connect available for Power Production (Power Pro) to connect a portable generator and would be considered a high priority for getting connected. However, there could be a delay in the time it takes to locate and connect the mobile generator, which could further delay diesel distribution to vehicles and generators and the ability to receive aviation fuel into bulk storage.a couple of the pumps, which means flow rates go down in an outage.",20,Lacking or no access to parts / replacement assets,80,G2,_ALL INSTALLATION,Installation,Backup Power,ALTUS AFB,AGGN,Resilience Gap
49,"Both ramps have backup generators for aviation fuel pumps, but the South Ramp generator needs replacement. The generator is old and obsolete, making it difficult to find replacement parts. The capacity is also insufficient, as it cannot support the whole ramp, just  Additionally, the bulk storage area, which includes aviation fuel and diesel storage, does not have a permanent generator. Pumps are needed for both filling the tanks and dispensing diesel fuel. The bulk storage area has a quick-connect available for Power Production (Power Pro) to connect a portable generator and would be considered a high priority for getting connected. However, there could be a delay in the time it takes to locate and connect the mobile generator, which could further delay diesel distribution to vehicles and generators and the ability to receive aviation fuel into bulk storage.a couple of the pumps, which means flow rates go down in an outage.",12,Lacks adequate resupply/refueling protocol/logistics,75,G2,_ALL INSTALLATION,Installation,Backup Power,ALTUS AFB,AGGN,Resilience Gap
72,Transformers are past expected service life and subject to unplanned failure with no redundancy in place.,17,Asset is aged / lacking adequate performance,95,ARN31,Propulsion Mission Set,Mission,Power,ARNOLD AFB,ANZY,Resilience Gap
72,Transformers are past expected service life and subject to unplanned failure with no redundancy in place.,8,Lacking redundant electrical feed,90,ARN31,Propulsion Mission Set,Mission,Power,ARNOLD AFB,ANZY,Resilience Gap
72,Transformers are past expected service life and subject to unplanned failure with no redundancy in place.,39,Lacking electrical transmission distribution/connection systems,75,ARN31,Propulsion Mission Set,Mission,Power,ARNOLD AFB,ANZY,Resilience Gap
72,Transformers are past expected service life and subject to unplanned failure with no redundancy in place.,25,Lacking vulnerability / resiliency / adequacy assessment,65,ARN31,Propulsion Mission Set,Mission,Power,ARNOLD AFB,ANZY,Resilience Gap
72,Transformers are past expected service life and subject to unplanned failure with no redundancy in place.,10,Lacking or requires upgrades to centralized asset / system,60,ARN31,Propulsion Mission Set,Mission,Power,ARNOLD AFB,ANZY,Resilience Gap
77,The primary installation substation has a chain link fence around it but no other hardening measures.,37,Lacking┬á or no access to┬á hardening / safety or security improvements,95,ARN17,_ALL INSTALLATION,0,Power Distribution,ARNOLD AFB,ANZY,Resilience Opportunity
77,The primary installation substation has a chain link fence around it but no other hardening measures.,11,Lacking secure facility for critical operations /power,90,ARN17,_ALL INSTALLATION,0,Power Distribution,ARNOLD AFB,ANZY,Resilience Opportunity
77,The primary installation substation has a chain link fence around it but no other hardening measures.,57,Substation location presents vulnerabilities or access challenges,80,ARN17,_ALL INSTALLATION,0,Power Distribution,ARNOLD AFB,ANZY,Resilience Opportunity
77,The primary installation substation has a chain link fence around it but no other hardening measures.,25,Lacking vulnerability / resiliency / adequacy assessment,65,ARN17,_ALL INSTALLATION,0,Power Distribution,ARNOLD AFB,ANZY,Resilience Opportunity
77,The primary installation substation has a chain link fence around it but no other hardening measures.,10,Lacking or requires upgrades to centralized asset / system,55,ARN17,_ALL INSTALLATION,0,Power Distribution,ARNOLD AFB,ANZY,Resilience Opportunity
79,The mission set lacks quick-connect ports to connect portable generators.,3,Lacking┬ágenerator quick-connect tie-in connection,95,ARN25,Aerodynamics Mission Set,Mission,Power,ARNOLD AFB,ANZY,Resilience Gap
79,The mission set lacks quick-connect ports to connect portable generators.,2,Lacking┬á access to┬áportable backup power,90,ARN25,Aerodynamics Mission Set,Mission,Power,ARNOLD AFB,ANZY,Resilience Gap
79,The mission set lacks quick-connect ports to connect portable generators.,1,Lacking backup power,80,ARN25,Aerodynamics Mission Set,Mission,Power,ARNOLD AFB,ANZY,Resilience Gap
79,The mission set lacks quick-connect ports to connect portable generators.,4,Generator requires adequate sizing / testing,60,ARN25,Aerodynamics Mission Set,Mission,Power,ARNOLD AFB,ANZY,Resilience Gap
79,The mission set lacks quick-connect ports to connect portable generators.,13,Asset / system requires standardization / optimization / simplification,50,ARN25,Aerodynamics Mission Set,Mission,Power,ARNOLD AFB,ANZY,Resilience Gap
80,"The medium 161 kV electrical distribution system is critically aged, and many components or parts are expensive to upgrade or replace.",17,Asset is aged / lacking adequate performance,95,ARN13,_ALL INSTALLATION,0,Power Distribution,ARNOLD AFB,ANZY,Resilience Gap
80,"The medium 161 kV electrical distribution system is critically aged, and many components or parts are expensive to upgrade or replace.",39,Lacking electrical transmission distribution/connection systems,90,ARN13,_ALL INSTALLATION,0,Power Distribution,ARNOLD AFB,ANZY,Resilience Gap
80,"The medium 161 kV electrical distribution system is critically aged, and many components or parts are expensive to upgrade or replace.",20,Lacking or no access to parts / replacement assets,85,ARN13,_ALL INSTALLATION,0,Power Distribution,ARNOLD AFB,ANZY,Resilience Gap
80,"The medium 161 kV electrical distribution system is critically aged, and many components or parts are expensive to upgrade or replace.",10,Lacking or requires upgrades to centralized asset / system,75,ARN13,_ALL INSTALLATION,0,Power Distribution,ARNOLD AFB,ANZY,Resilience Gap
80,"The medium 161 kV electrical distribution system is critically aged, and many components or parts are expensive to upgrade or replace.",21,"Lacking adequate primary or backup supply procurement ",60,ARN13,_ALL INSTALLATION,0,Power Distribution,ARNOLD AFB,ANZY,Resilience Gap
88,"Switchgear at VKF is critically aged, not working effectively, and subject to failure at any time, delaying consistent testing.",17,Asset is aged / lacking adequate performance,95,ARN24,Aerodynamics Mission Set,Mission,Power,ARNOLD AFB,ANZY,Resilience Gap
88,"Switchgear at VKF is critically aged, not working effectively, and subject to failure at any time, delaying consistent testing.",39,Lacking electrical transmission distribution/connection systems,85,ARN24,Aerodynamics Mission Set,Mission,Power,ARNOLD AFB,ANZY,Resilience Gap
