prelim_gap_id,prelim_gap_description,gap_library_id,gap_library_description,relevancy_score,IEP Entry ID,Mission,Mission or Installation Wide,Resource Category,Installation(s),Installation_Cd,Gap_Or_Opportunity?,gap_id,Problem,GapToStrat_relatedness_score,strategy_id,General Solution Description ,TechToStrat_relevancy_score,technology_id,Technology,Cost Per Building Low ($),Cost Per Building High ($),Cost Estimation Logic,Installation,Strat_ID,Strategy / Capability,Scale,Impact_Potential,MSS3,% Impact_Potential,MAJCOM,Installation_Name,Million_BTU_FY24_AEPRR,Energy_Cost($),Total_Facility_SF,Building_Count,Combined_Relevency Score,Row_ID
49,"Both ramps have backup generators for aviation fuel pumps, but the South Ramp generator needs replacement. The generator is old and obsolete, making it difficult to find replacement parts. The capacity is also insufficient, as it cannot support the whole ramp, just  Additionally, the bulk storage area, which includes aviation fuel and diesel storage, does not have a permanent generator. Pumps are needed for both filling the tanks and dispensing diesel fuel. The bulk storage area has a quick-connect available for Power Production (Power Pro) to connect a portable generator and would be considered a high priority for getting connected. However, there could be a delay in the time it takes to locate and connect the mobile generator, which could further delay diesel distribution to vehicles and generators and the ability to receive aviation fuel into bulk storage.a couple of the pumps, which means flow rates go down in an outage.",17.0,Asset is aged / lacking adequate performance,95.0,G2,_ALL INSTALLATION,Installation,Backup Power,ALTUS AFB,AGGN,Resilience Gap,17,Asset is aged / lacking adequate performance,85.0,123.0,Adequate Electrical Transmission Condition,85.0,7.0,Substations,600000.0,1500000.0,"Upgrades to aged transmission equipment serving building's substation. Includes conductors, structures, and termination equipment.",Altus Air Force Base,123,Adequate Electrical Transmission Condition (Installation Level),Installation,80.06841338978046,106.7578844930178,0.7500000001875001,AETC,ALTUS AFB,259082.315328877,3602602.98366349,2266885.21,161,80.75,11
130,There is no SCADA system to remotely monitor or control primary intake substation.,32.0,Lacking or no access to remote controls / operations,95.0,G36,_ALL INSTALLATION,Installation,Power Distribution,AVIANO AB,ASHE,Not a Gap,32,Lacking or no access to remote controls / operations,95.0,132.0,Remote Substation Controls / Operations,100.0,7.0,Substations,200000.0,500000.0,"Implementation of remote control systems for substations. Includes SCADA equipment, communications, and control hardware/software.",Aviano AB,132,Remote Substation Controls / Operations (Installation Level),Installation,56.56974405474351,56.56974405474351,1.0,USAFE,AVIANO AB,278254.2399664,12121937.0157117,1470866.0,189,95.0,12
133,"There are no utility-scale renewable energy systems at Aviano AB. However, solar is a viable renewable resource. Because of high utility costs, there is interest in continued exploration of renewable energy opportunities, including solar carports and building-scale and off-base solar arrays.",34.0,Lacking access to alternate / renewable electrical power source,95.0,G33,_ALL INSTALLATION,Installation,Power Distribution,AVIANO AB,ASHE,Resilience Opportunity,34,Lacking access to alternate / renewable electrical power source,95.0,79.0,Access to Alternate/Renewable Generation during an Outage,95.0,12.0,Microgrid,350000.0,900000.0,"Integration of renewable generation with islanding capabilities within microgrid framework. Includes generation equipment, storage, and controls.",Aviano AB,79,Access to Alternate/Renewable Generation during an Outage,Installation,43.55357973591057,43.55357973591057,1.0,USAFE,AVIANO AB,278254.2399664,12121937.0157117,1470866.0,189,90.25,13
140,"The Zappala Loop and Flight-Line Loop on Area F can be tied. However, neither source can fully power the base. Remaining areas all have single sources.",39.0,Lacking electrical transmission distribution/connection systems,85.0,G32,_ALL INSTALLATION,Installation,Power Distribution,AVIANO AB,ASHE,Resilience Opportunity,39,Lacking electrical transmission distribution/connection systems,85.0,131.0,Installation Substation Interconnect (Backfeeding),100.0,7.0,Substations,600000.0,1500000.0,"Implementation of backfeeding capability between installation substations. Includes switchgear, controls, and protection equipment.",Aviano AB,131,Installation Substation Interconnect (Back feeding),Installation,149.3268658345799,248.87810977407545,0.59999999988,USAFE,AVIANO AB,278254.2399664,12121937.0157117,1470866.0,189,85.0,14
141,"The Zappala Loop and Flight-Line Loop on Area F can be tied. However, neither source can fully power the base. Remaining areas all have single sources.",39.0,Lacking electrical transmission distribution/connection systems,85.0,G34,_ALL INSTALLATION,Installation,Power Distribution,AVIANO AB,ASHE,Resilience Opportunity,39,Lacking electrical transmission distribution/connection systems,85.0,131.0,Installation Substation Interconnect (Backfeeding),100.0,7.0,Substations,600000.0,1500000.0,"Implementation of backfeeding capability between installation substations. Includes switchgear, controls, and protection equipment.",Aviano AB,131,Installation Substation Interconnect (Back feeding),Installation,149.3268658345799,248.87810977407545,0.59999999988,USAFE,AVIANO AB,278254.2399664,12121937.0157117,1470866.0,189,85.0,15
165,"Area F experiences several localized MV power outages due to bad relays and splices in MV cables in manholes between substations. This happens mostly during rain events, causing building outages and issues with HVAC system restarts.",39.0,Lacking electrical transmission distribution/connection systems,90.0,G30,_ALL INSTALLATION,Installation,Power Distribution,AVIANO AB,ASHE,Conservation Opportunity,39,Lacking electrical transmission distribution/connection systems,85.0,131.0,Installation Substation Interconnect (Backfeeding),100.0,7.0,Substations,600000.0,1500000.0,"Implementation of backfeeding capability between installation substations. Includes switchgear, controls, and protection equipment.",Aviano AB,131,Installation Substation Interconnect (Back feeding),Installation,149.3268658345799,248.87810977407545,0.59999999988,USAFE,AVIANO AB,278254.2399664,12121937.0157117,1470866.0,189,90.0,16
329,"Upgrades are needed for point of delivery (POD), MV substations.",39.0,Lacking electrical transmission distribution/connection systems,85.0,G31,_ALL INSTALLATION,Installation,Power Distribution,AVIANO AB,ASHE,Conservation Opportunity,39,Lacking electrical transmission distribution/connection systems,85.0,131.0,Installation Substation Interconnect (Backfeeding),100.0,7.0,Substations,600000.0,1500000.0,"Implementation of backfeeding capability between installation substations. Includes switchgear, controls, and protection equipment.",Aviano AB,131,Installation Substation Interconnect (Back feeding),Installation,149.3268658345799,248.87810977407545,0.59999999988,USAFE,AVIANO AB,278254.2399664,12121937.0157117,1470866.0,189,85.0,17
330,There is no SCADA system to remotely monitor or control primary intake substation.,32.0,Lacking or no access to remote controls / operations,95.0,G35,_ALL INSTALLATION,Installation,Power Distribution,AVIANO AB,ASHE,Not a Gap,32,Lacking or no access to remote controls / operations,95.0,132.0,Remote Substation Controls / Operations,100.0,7.0,Substations,200000.0,500000.0,"Implementation of remote control systems for substations. Includes SCADA equipment, communications, and control hardware/software.",Aviano AB,132,Remote Substation Controls / Operations (Installation Level),Installation,56.56974405474351,56.56974405474351,1.0,USAFE,AVIANO AB,278254.2399664,12121937.0157117,1470866.0,189,95.0,18
331,All switching on the base in manual.,47.0,"Requirements are inadequately manual, automated / modernized system is needed",95.0,BAR21,_ALL INSTALLATION,Installation,Power Distribution,BARKSDALE AFB,AWUB,Resilience Opportunity,47,"Requirements are inadequately manual, automated / modernized system is needed",90.0,154.0,Installation-wide SCADA System (Water),100.0,21.0,Water System Management & Monitoring,38333.3333,125000.0,"Cost per building for installing submeters. Range increased for retrofit (cutting into existing pipes, potentially difficult locations) and integrating with central data collection/AMR system. Depends",Barksdale,154,Installation-wide SCADA System (Water),Installation,39.705882352941174,66.17647060147058,0.59999999988,AFGSC,BARKSDALE AFB,379704.0,7026298.30930572,5062713.8,426,95.0,19
338,The base lacks an installation-level microgrid. Base personnel are working to develop one with the utility.,33.0,Requires Microgrid solution,95.0,BAR25,_ALL INSTALLATION,Installation,Power Distribution,BARKSDALE AFB,AWUB,Not a gap,33,Requires Microgrid solution,95.0,127.0,Installation Microgrid,100.0,12.0,Microgrid,500000.0,1500000.0,"Building-specific microgrid implementation. Includes local generation, storage, controls, and grid interconnection capabilities.",Barksdale,127,Installation Microgrid,Installation,245.14481449126842,245.14481449126842,1.0,AFGSC,BARKSDALE AFB,379704.0,7026298.30930572,5062713.8,426,95.0,20
394,"Remote monitoring and controls is limited, increasing response and recovery times to system failures",32.0,Lacking or no access to remote controls / operations,95.0,BEA5,_ALL INSTALLATION,Installation,Power,BEALE AFB,BAEY,Resilience Gap,32,Lacking or no access to remote controls / operations,95.0,132.0,Remote Substation Controls / Operations,100.0,7.0,Substations,200000.0,500000.0,"Implementation of remote control systems for substations. Includes SCADA equipment, communications, and control hardware/software.",Beale,132,Remote Substation Controls / Operations (Installation Level),Installation,70.31230770439461,70.31230770439461,1.0,ACC,BEALE AFB,299365.360755613,7191994.68007887,3240612.0,274,95.0,21
428,Installation substation demand is nearing capacity,39.0,Lacking electrical transmission distribution/connection systems,85.0,BEA1,_ALL INSTALLATION,Installation,Power,BEALE AFB,BAEY,Resilience Opportunity,39,Lacking electrical transmission distribution/connection systems,85.0,131.0,Installation Substation Interconnect (Backfeeding),100.0,7.0,Substations,600000.0,1500000.0,"Implementation of backfeeding capability between installation substations. Includes switchgear, controls, and protection equipment.",Beale,131,Installation Substation Interconnect (Back feeding),Installation,79.75128740153716,149.74533857524983,0.532579432256989,ACC,BEALE AFB,299365.360755613,7191994.68007887,3240612.0,274,85.0,22
432,Existing transmission lines and poles are susceptible to fire damage,37.0,Lacking┬á or no access to┬á hardening / safety or security improvements,90.0,BEA3,_ALL INSTALLATION,Installation,Power,BEALE AFB,BAEY,Resilience Gap,37,Lacking or no access to hardening / safety or security improvements,95.0,156.0,Water Distribution Hardening Strategies,95.0,22.0,Water System Resilience Infrastructure,27833.3333,93333.3333,"Allocated cost per building (~135) for developing system-wide protocol, communication plan, potentially integrating alerts into existing systems. Primarily planning/admin cost.",Beale,156,Water Distribution Hardening Strategies (Installation Level),Installation,57.912552091212916,57.912552091212916,1.0,ACC,BEALE AFB,299365.360755613,7191994.68007887,3240612.0,274,85.5,23
439,Centralized fuel storage capacity and generator refuelling logistics are constrained in a base-wide outage,12.0,Lacks adequate resupply/refueling protocol/logistics,90.0,BEA4,_ALL INSTALLATION,Installation,Power,BEALE AFB,BAEY,Resilience Gap,12,Lacks adequate resupply/refueling protocol/logistics,95.0,19.0,Backup Generator Refueling Logistics,85.0,11.0,Generator Reliability,90000.0,225000.0,"Development of comprehensive refueling logistics. Includes contracts, delivery arrangements, and emergency protocols.",Beale,19,Backup Generator Refueling Logistics,Installation,187.13665702608165,249.5155426390633,0.7500000001875,ACC,BEALE AFB,299365.360755613,7191994.68007887,3240612.0,274,76.5,24
440,Base transmission system is linear (not looped) and relies on single utility provider,39.0,Lacking electrical transmission distribution/connection systems,95.0,BEA2,_ALL INSTALLATION,Installation,Power,BEALE AFB,BAEY,Resilience Gap,39,Lacking electrical transmission distribution/connection systems,85.0,131.0,Installation Substation Interconnect (Backfeeding),100.0,7.0,Substations,600000.0,1500000.0,"Implementation of backfeeding capability between installation substations. Includes switchgear, controls, and protection equipment.",Beale,131,Installation Substation Interconnect (Back feeding),Installation,79.75128740153716,149.74533857524983,0.532579432256989,ACC,BEALE AFB,299365.360755613,7191994.68007887,3240612.0,274,95.0,25
448,OH transmission upstream of main switchgear. Conflicts with UFC 3-550-01. (Minor),29.0,Lacking or no access to adequate policy / legal /code documentation or requirements,85.0,BUC5,_ALL INSTALLATION,Installation,Power,BUCKLEY SFB,CRWU,Resilience Gap,29,Lacking or no access to adequate policy / legal /code documentation or requirements,75.0,98.0,Standardized Cybersecurity Authorization Protocol,100.0,8.0,Industrial Control Systems (ICS) Cybersecurity,60000.0,180000.0,"Development of cybersecurity policies, procedures, and compliance documentation. Includes risk assessment, compliance monitoring, and staff training.",Buckley,98,Standardized Cybersecurity Authorization Protocol,Installation,90.90909090909092,90.90909090909092,1.0,SPOC,BUCKLEY SFB,999617.719175866,27253810.2425105,4782260.5,273,85.0,26
448,OH transmission upstream of main switchgear. Conflicts with UFC 3-550-01. (Minor),29.0,Lacking or no access to adequate policy / legal /code documentation or requirements,85.0,BUC5,_ALL INSTALLATION,Installation,Power,BUCKLEY SFB,CRWU,Resilience Gap,29,Lacking or no access to adequate policy / legal /code documentation or requirements,75.0,98.0,Standardized Cybersecurity Authorization Protocol,100.0,8.0,Industrial Control Systems (ICS) Cybersecurity,60000.0,180000.0,"Development of cybersecurity policies, procedures, and compliance documentation. Includes risk assessment, compliance monitoring, and staff training.",Buckley,98,Standardized Cybersecurity Authorization Protocol,Installation,90.90909090909092,90.90909090909092,1.0,ANG,BUCKLEY AFB (ANG),56480.43,980450.2,4782260.5,273,85.0,27
455,No alternative substation connection.  (Major),39.0,Lacking electrical transmission distribution/connection systems,95.0,BUC2,_ALL INSTALLATION,Installation,Power,BUCKLEY SFB,CRWU,Resilience Gap,39,Lacking electrical transmission distribution/connection systems,95.0,123.0,Adequate Electrical Transmission Condition,85.0,14.0,Power Quality,450000.0,1100000.0,"New transmission systems with power quality features. Includes filtering, regulation, and monitoring equipment.",Buckley,123,Adequate Electrical Transmission Condition (Installation Level),Installation,334.7143680215823,557.857280147542,0.5999999998799999,SPOC,BUCKLEY SFB,999617.719175866,27253810.2425105,4782260.5,273,80.75,28
455,No alternative substation connection.  (Major),39.0,Lacking electrical transmission distribution/connection systems,95.0,BUC2,_ALL INSTALLATION,Installation,Power,BUCKLEY SFB,CRWU,Resilience Gap,39,Lacking electrical transmission distribution/connection systems,95.0,123.0,Adequate Electrical Transmission Condition,85.0,14.0,Power Quality,450000.0,1100000.0,"New transmission systems with power quality features. Includes filtering, regulation, and monitoring equipment.",Buckley,123,Adequate Electrical Transmission Condition (Installation Level),Installation,334.7143680215823,557.857280147542,0.5999999998799999,ANG,BUCKLEY AFB (ANG),56480.43,980450.2,4782260.5,273,80.75,29
455,No alternative substation connection.  (Major),39.0,Lacking electrical transmission distribution/connection systems,95.0,BUC2,_ALL INSTALLATION,Installation,Power,BUCKLEY SFB,CRWU,Resilience Gap,39,Lacking electrical transmission distribution/connection systems,95.0,123.0,Adequate Electrical Transmission Condition,85.0,7.0,Substations,650000.0,1600000.0,"New transmission systems serving building's substation. Includes high-voltage equipment, structures, and termination equipment.",Buckley,123,Adequate Electrical Transmission Condition (Installation Level),Installation,334.7143680215823,557.857280147542,0.5999999998799999,SPOC,BUCKLEY SFB,999617.719175866,27253810.2425105,4782260.5,273,80.75,30
455,No alternative substation connection.  (Major),39.0,Lacking electrical transmission distribution/connection systems,95.0,BUC2,_ALL INSTALLATION,Installation,Power,BUCKLEY SFB,CRWU,Resilience Gap,39,Lacking electrical transmission distribution/connection systems,95.0,123.0,Adequate Electrical Transmission Condition,85.0,7.0,Substations,650000.0,1600000.0,"New transmission systems serving building's substation. Includes high-voltage equipment, structures, and termination equipment.",Buckley,123,Adequate Electrical Transmission Condition (Installation Level),Installation,334.7143680215823,557.857280147542,0.5999999998799999,ANG,BUCKLEY AFB (ANG),56480.43,980450.2,4782260.5,273,80.75,31
459,Lacking critical operations at secure facility (installation level). The existing truck inspection point off Mississippi Avenue does not meet UFC guideline. (Major),29.0,Lacking or no access to adequate policy / legal /code documentation or requirements,85.0,BUC3,_ALL INSTALLATION,Installation,Power,BUCKLEY SFB,CRWU,Resilience Gap,29,Lacking or no access to adequate policy / legal /code documentation or requirements,75.0,98.0,Standardized Cybersecurity Authorization Protocol,100.0,8.0,Industrial Control Systems (ICS) Cybersecurity,60000.0,180000.0,"Development of cybersecurity policies, procedures, and compliance documentation. Includes risk assessment, compliance monitoring, and staff training.",Buckley,98,Standardized Cybersecurity Authorization Protocol,Installation,90.90909090909092,90.90909090909092,1.0,SPOC,BUCKLEY SFB,999617.719175866,27253810.2425105,4782260.5,273,85.0,32
459,Lacking critical operations at secure facility (installation level). The existing truck inspection point off Mississippi Avenue does not meet UFC guideline. (Major),29.0,Lacking or no access to adequate policy / legal /code documentation or requirements,85.0,BUC3,_ALL INSTALLATION,Installation,Power,BUCKLEY SFB,CRWU,Resilience Gap,29,Lacking or no access to adequate policy / legal /code documentation or requirements,75.0,98.0,Standardized Cybersecurity Authorization Protocol,100.0,8.0,Industrial Control Systems (ICS) Cybersecurity,60000.0,180000.0,"Development of cybersecurity policies, procedures, and compliance documentation. Includes risk assessment, compliance monitoring, and staff training.",Buckley,98,Standardized Cybersecurity Authorization Protocol,Installation,90.90909090909092,90.90909090909092,1.0,ANG,BUCKLEY AFB (ANG),56480.43,980450.2,4782260.5,273,85.0,33
460,"In the ANG area, there are splices in manholes for 13.2 kV along Breckenridge Avenue/east of Aspen Street; need to upgrade to above-grade connections cabinets or revise to in-line splices. Conflicts with UFC 3-550-01. (Major)",17.0,Asset is aged / lacking adequate performance,95.0,BUC1,_ALL INSTALLATION,Installation,Power,BUCKLEY SFB,CRWU,Resilience Opportunity,17,Asset is aged / lacking adequate performance,85.0,123.0,Adequate Electrical Transmission Condition,85.0,14.0,Power Quality,400000.0,1000000.0,"Transmission system upgrades with power quality focus. Includes conditioning equipment, regulators, and monitoring.",Buckley,123,Adequate Electrical Transmission Condition (Installation Level),Installation,334.7143680215823,557.857280147542,0.5999999998799999,SPOC,BUCKLEY SFB,999617.719175866,27253810.2425105,4782260.5,273,80.75,34
460,"In the ANG area, there are splices in manholes for 13.2 kV along Breckenridge Avenue/east of Aspen Street; need to upgrade to above-grade connections cabinets or revise to in-line splices. Conflicts with UFC 3-550-01. (Major)",17.0,Asset is aged / lacking adequate performance,95.0,BUC1,_ALL INSTALLATION,Installation,Power,BUCKLEY SFB,CRWU,Resilience Opportunity,17,Asset is aged / lacking adequate performance,85.0,123.0,Adequate Electrical Transmission Condition,85.0,14.0,Power Quality,400000.0,1000000.0,"Transmission system upgrades with power quality focus. Includes conditioning equipment, regulators, and monitoring.",Buckley,123,Adequate Electrical Transmission Condition (Installation Level),Installation,334.7143680215823,557.857280147542,0.5999999998799999,ANG,BUCKLEY AFB (ANG),56480.43,980450.2,4782260.5,273,80.75,35
460,"In the ANG area, there are splices in manholes for 13.2 kV along Breckenridge Avenue/east of Aspen Street; need to upgrade to above-grade connections cabinets or revise to in-line splices. Conflicts with UFC 3-550-01. (Major)",17.0,Asset is aged / lacking adequate performance,95.0,BUC1,_ALL INSTALLATION,Installation,Power,BUCKLEY SFB,CRWU,Resilience Opportunity,17,Asset is aged / lacking adequate performance,85.0,123.0,Adequate Electrical Transmission Condition,85.0,7.0,Substations,600000.0,1500000.0,"Upgrades to aged transmission equipment serving building's substation. Includes conductors, structures, and termination equipment.",Buckley,123,Adequate Electrical Transmission Condition (Installation Level),Installation,334.7143680215823,557.857280147542,0.5999999998799999,SPOC,BUCKLEY SFB,999617.719175866,27253810.2425105,4782260.5,273,80.75,36
460,"In the ANG area, there are splices in manholes for 13.2 kV along Breckenridge Avenue/east of Aspen Street; need to upgrade to above-grade connections cabinets or revise to in-line splices. Conflicts with UFC 3-550-01. (Major)",17.0,Asset is aged / lacking adequate performance,95.0,BUC1,_ALL INSTALLATION,Installation,Power,BUCKLEY SFB,CRWU,Resilience Opportunity,17,Asset is aged / lacking adequate performance,85.0,123.0,Adequate Electrical Transmission Condition,85.0,7.0,Substations,600000.0,1500000.0,"Upgrades to aged transmission equipment serving building's substation. Includes conductors, structures, and termination equipment.",Buckley,123,Adequate Electrical Transmission Condition (Installation Level),Installation,334.7143680215823,557.857280147542,0.5999999998799999,ANG,BUCKLEY AFB (ANG),56480.43,980450.2,4782260.5,273,80.75,37
